game_date,game_datetime,game_pk,game_type,status,venue_id,venue_name,home_team_id,home_team_name,home_abbrev,away_team_id,away_team_name,away_abbrev,home_score,away_score,home_win,home_sp_id,home_sp_name,away_sp_id,away_sp_name,home_sp_throws,away_sp_throws
2025-03-18,2025-03-18 10:10:00+00:00,778563,R,Final,2397,Tokyo Dome,112,Chicago Cubs,CHC,119,Los Angeles Dodgers,LAD,1,4,0,684007.0,Shota Imanaga,808967.0,Yoshinobu Yamamoto,L,R
2025-03-19,2025-03-19 10:10:00+00:00,778564,R,Final,2397,Tokyo Dome,112,Chicago Cubs,CHC,119,Los Angeles Dodgers,LAD,3,6,0,657006.0,Justin Steele,808963.0,Roki Sasaki,L,R
2025-03-27,2025-03-27 23:10:00+00:00,778546,R,Final,22,Dodger Stadium,119,Los Angeles Dodgers,LAD,116,Detroit Tigers,DET,5,4,1,605483.0,Blake Snell,669373.0,Tarik Skubal,L,L
2025-03-27,2025-03-28 02:10:00+00:00,778547,R,Final,680,T-Mobile Park,136,Seattle Mariners,SEA,133,Athletics,ATH,4,2,1,669302.0,Logan Gilbert,622663.0,Luis Severino,R,R
2025-03-27,2025-03-27 20:15:00+00:00,778551,R,Final,2889,Busch Stadium,138,St. Louis Cardinals,STL,142,Minnesota Twins,MIN,5,3,1,543243.0,Sonny Gray,641154.0,Pablo López,R,R
2025-03-27,2025-03-28 02:10:00+00:00,778552,R,Final,15,Chase Field,109,Arizona Diamondbacks,AZ,112,Chicago Cubs,CHC,6,10,0,668678.0,Zac Gallen,657006.0,Justin Steele,R,L
2025-03-27,2025-03-27 20:05:00+00:00,778553,R,Final,5325,Globe Life Field,140,Texas Rangers,TEX,111,Boston Red Sox,BOS,2,5,0,543135.0,Nathan Eovaldi,676979.0,Garrett Crochet,R,L
2025-03-27,2025-03-27 20:10:00+00:00,778545,R,Final,2680,Petco Park,135,San Diego Padres,SD,144,Atlanta Braves,ATL,7,4,1,650633.0,Michael King,519242.0,Chris Sale,R,L
2025-03-27,2025-03-27 20:10:00+00:00,778554,R,Final,4,Rate Field,145,Chicago White Sox,CWS,108,Los Angeles Angels,LAA,8,1,1,680732.0,Sean Burke,579328.0,Yusei Kikuchi,R,L
2025-03-27,2025-03-27 19:07:00+00:00,778556,R,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,110,Baltimore Orioles,BAL,2,12,0,621244.0,José Berríos,621107.0,Zach Eflin,R,R
2025-03-27,2025-03-27 19:05:00+00:00,778557,R,Final,3313,Yankee Stadium,147,New York Yankees,NYY,158,Milwaukee Brewers,MIL,4,2,1,607074.0,Carlos Rodón,642547.0,Freddy Peralta,L,R
2025-03-27,2025-03-27 20:10:00+00:00,778558,R,Final,7,Kauffman Stadium,118,Kansas City Royals,KC,114,Cleveland Guardians,CLE,4,7,0,666142.0,Cole Ragans,594902.0,Ben Lively,L,R
2025-03-27,2025-03-27 20:10:00+00:00,778559,R,Final,2392,Daikin Park,117,Houston Astros,HOU,121,New York Mets,NYM,3,1,1,664285.0,Framber Valdez,605280.0,Clay Holmes,L,R
2025-03-27,2025-03-27 20:10:00+00:00,778561,R,Final,2602,Great American Ball Park,113,Cincinnati Reds,CIN,137,San Francisco Giants,SF,4,6,0,668881.0,Hunter Greene,657277.0,Logan Webb,R,R
2025-03-27,2025-03-27 20:10:00+00:00,778562,R,Final,4169,loanDepot park,146,Miami Marlins,MIA,134,Pittsburgh Pirates,PIT,5,4,1,645261.0,Sandy Alcantara,694973.0,Paul Skenes,R,R
2025-03-27,2025-03-27 20:05:00+00:00,778555,R,Final,3309,Nationals Park,120,Washington Nationals,WSH,143,Philadelphia Phillies,PHI,3,7,0,669022.0,MacKenzie Gore,554430.0,Zack Wheeler,L,R
2025-03-28,2025-03-29 00:10:00+00:00,778518,R,Final,2392,Daikin Park,117,Houston Astros,HOU,121,New York Mets,NYM,1,3,0,686613.0,Hunter Brown,656731.0,Tylor Megill,R,R
2025-03-28,2025-03-29 01:40:00+00:00,778541,R,Final,680,T-Mobile Park,136,Seattle Mariners,SEA,133,Athletics,ATH,0,7,0,622491.0,Luis Castillo,605488.0,Jeffrey Springs,R,L
2025-03-28,2025-03-29 01:40:00+00:00,778542,R,Final,2680,Petco Park,135,San Diego Padres,SD,144,Atlanta Braves,ATL,4,3,1,656302.0,Dylan Cease,625643.0,Reynaldo López,R,R
2025-03-28,2025-03-29 01:40:00+00:00,778543,R,Final,15,Chase Field,109,Arizona Diamondbacks,AZ,112,Chicago Cubs,CHC,8,1,1,518876.0,Merrill Kelly,592791.0,Jameson Taillon,R,R
2025-03-28,2025-03-28 23:10:00+00:00,778548,R,Final,4169,loanDepot park,146,Miami Marlins,MIA,134,Pittsburgh Pirates,PIT,3,4,0,687362.0,Connor Gillispie,656605.0,Mitch Keller,R,R
2025-03-28,2025-03-28 23:07:00+00:00,778549,R,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,110,Baltimore Orioles,BAL,8,2,1,592332.0,Kevin Gausman,450203.0,Charlie Morton,R,R
2025-03-28,2025-03-29 00:05:00+00:00,778550,R,Final,5325,Globe Life Field,140,Texas Rangers,TEX,111,Boston Red Sox,BOS,4,1,1,683004.0,Jack Leiter,656557.0,Tanner Houck,R,R
2025-03-28,2025-03-28 20:10:00+00:00,778560,R,Final,2523,George M. Steinbrenner Field,139,Tampa Bay Rays,TB,115,Colorado Rockies,COL,3,2,1,686752.0,Ryan Pepiot,607536.0,Kyle Freeland,R,L
